행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 평균연령,남자 평균연령,여자 평균연령
1168060000,2022-02-28,서울특별시,Gangnam,DCH1,38.6,37.7,39.5
1168061000,2022-02-28,서울특별시,Gangnam,DCH2,41.3,40.1,42.6
1168063000,2022-02-28,서울특별시,Gangnam,DCH4,40.7,39.9,41.4
1168064000,2022-02-28,서울특별시,Gangnam,YS1,41,41.3,40.7
1168065000,2022-02-28,서울특별시,Gangnam,YS2,38.9,39.1,38.8
1168065500,2022-02-28,서울특별시,Gangnam,DK1,41.5,41.6,41.4
1168065600,2022-02-28,서울특별시,Gangnam,DK2,41.3,41.7,40.9
1168066000,2022-02-28,서울특별시,Gangnam,KP1,46.7,46.3,47.1
1168067000,2022-02-28,서울특별시,Gangnam,KP2,40.8,40.4,41.2
1168069000,2022-02-28,서울특별시,Gangnam,KP4,42.1,41.5,42.7
1168070000,2022-02-28,서울특별시,Gangnam,SK,41.7,40.8,42.4
1168072000,2022-02-28,서울특별시,Gangnam,IWB,40.7,39,42.4
1168073000,2022-02-28,서울특별시,Gangnam,IW1,46.5,44.7,48.1
1168074000,2022-02-28,서울특별시,Gangnam,IW2,44.3,41.7,46.8
1168075000,2022-02-28,서울특별시,Gangnam,SUS,51.7,49.2,53.7
1171051000,2022-02-28,서울특별시,Songpa,PN1,47.3,45.8,48.8
1171052000,2022-02-28,서울특별시,Songpa,PN2,42.5,42.1,42.8
1171053100,2022-02-28,서울특별시,Songpa,KY1,46,45,46.9
1171053200,2022-02-28,서울특별시,Songpa,KY2,43.9,42.8,45
1171054000,2022-02-28,서울특별시,Songpa,MCH1,47.6,46.6,48.7
1171055000,2022-02-28,서울특별시,Songpa,MCH2,48.1,47,49.2
1171056100,2022-02-28,서울특별시,Songpa,BI1,42.3,41.7,42.9
1171056200,2022-02-28,서울특별시,Songpa,BI2,42.1,42,42.2
1171056600,2022-02-28,서울특별시,Songpa,OR,42.5,41.5,43.4
1171057000,2022-02-28,서울특별시,Songpa,OK,44.1,42.8,45.2
1171058000,2022-02-28,서울특별시,Songpa,SP1,42.7,42.3,43
1171059000,2022-02-28,서울특별시,Songpa,SP2,42.4,42.1,42.8
1171060000,2022-02-28,서울특별시,Songpa,SCH,42.9,42.5,43.2
1171061000,2022-02-28,서울특별시,Songpa,SJ,42.3,41.6,42.9
1171062000,2022-02-28,서울특별시,Songpa,KRB,43.5,43.1,43.9
1171063100,2022-02-28,서울특별시,Songpa,KR1,40.2,39.6,40.8
1171063200,2022-02-28,서울특별시,Songpa,KR2,41.6,40.9,42.4
1171064100,2022-02-28,서울특별시,Songpa,MJ1,43.2,42.4,43.9
1171064200,2022-02-28,서울특별시,Songpa,MJ2,41.8,42.3,41.3
1171064600,2022-02-28,서울특별시,Songpa,JJ,42.6,41.4,43.7
1171064700,2022-02-28,서울특별시,Songpa,WR,35,34.2,35.8
1171065000,2022-02-28,서울특별시,Songpa,JSB,42.5,42.3,42.8
1171067000,2022-02-28,서울특별시,Songpa,JS2,38.4,38,38.8
1171068000,2022-02-28,서울특별시,Songpa,JS3,42.4,41.9,42.9
1171069000,2022-02-28,서울특별시,Songpa,JS4,40,39.4,40.6
1171071000,2022-02-28,서울특별시,Songpa,JS6,43.2,42.7,43.6
1171072000,2022-02-28,서울특별시,Songpa,JS7,46.1,46.4,45.9
1174051500,2022-02-28,서울특별시,Gangdong,KI,42,40.7,43.3
1174052500,2022-02-28,서울특별시,Gangdong,SI1,39.2,38.7,39.6
1174052600,2022-02-28,서울특별시,Gangdong,SI2,40.4,39.5,41.3
1174053000,2022-02-28,서울특별시,Gangdong,MI1,42.5,41.5,43.4
1174054000,2022-02-28,서울특별시,Gangdong,MI2,41.7,41,42.5
1174055000,2022-02-28,서울특별시,Gangdong,KD1,39.4,38.2,40.7
1174056000,2022-02-28,서울특별시,Gangdong,KD2,40.6,40,41.2
1174057000,2022-02-28,서울특별시,Gangdong,AS1,44.8,43.8,45.9
1174058000,2022-02-28,서울특별시,Gangdong,AS2,42.7,41.9,43.4
1174059000,2022-02-28,서울특별시,Gangdong,AS3,41.4,40.8,41.9
1174060000,2022-02-28,서울특별시,Gangdong,CHH1,46.1,45,47.2
1174061000,2022-02-28,서울특별시,Gangdong,CHH2,45.1,44.6,45.6
1174062000,2022-02-28,서울특별시,Gangdong,CHH3,44.8,44.5,45
1174064000,2022-02-28,서울특별시,Gangdong,SN1,42.7,41.8,43.4
1174065000,2022-02-28,서울특별시,Gangdong,SN2,45.7,45.3,46.1
1174066000,2022-02-28,서울특별시,Gangdong,SN3,44.4,43,45.8
1174068500,2022-02-28,서울특별시,Gangdong,K,44.9,44.1,45.6
1174069000,2022-02-28,서울특별시,Gangdong,DCH1,51.4,51.9,50.8
1174070000,2022-02-28,서울특별시,Gangdong,DCH2,43.9,42.8,44.9
