no,구,구분,읍면동명,투표구명,투표소,주소,선거인수,투표수,PYS,OSH,SJH,HKY,OTY,LSB,BYK,KJA,SMS,JDH,LDY,SJY,계,무효,기권수
1930,Gangnam,투표소,SS1,삼성1동제1투,"강남구도시관리공단(강남노인종합복지관)(지하1층,식당)",서울특별시 강남구 삼성로 628(삼성동),3245,1622,299,1271,10,19,3,0,0,7,1,1,0,3,1614,8,1623
1931,Gangnam,투표소,SS1,삼성1동제2투,"봉은중학교(1층, 협력종합예술실)",서울특별시 강남구 영동대로128길 59(삼성동),2422,1310,162,1121,2,9,2,3,0,2,5,0,0,1,1307,3,1112
1932,Gangnam,투표소,SS1,삼성1동제3투,"삼성1동문화센터(삼성1동주민센터 1층, 탁구실)",서울특별시 강남구 봉은사로 616(삼성동),3165,1577,312,1226,5,16,3,2,0,4,0,0,0,4,1572,5,1588
1933,Gangnam,투표소,SS2,삼성2동제1투,"삼성2동문화센터(삼성2동주민센터 3층, 회의실)",서울특별시 강남구 봉은사로 419(삼성동),4136,1507,413,1026,7,21,1,0,0,12,7,0,2,8,1497,10,2629
1934,Gangnam,투표소,SS2,삼성2동제2투,"강남구청 제2별관(지하1층, 아카데미교육장)",서울특별시 강남구 학동로 426(삼성동),4059,2320,422,1855,7,11,1,1,0,10,2,0,0,5,2314,6,1739
1935,Gangnam,투표소,SS2,삼성2동제3투,"언주중학교 서관(1층, 교직원식당)",서울특별시 강남구 선릉로116길 57(삼성동),4603,2178,386,1736,11,17,1,3,1,8,2,1,0,6,2172,6,2425
1936,Gangnam,투표소,SS2,삼성2동제4투,"봉전경로당(1층, 할머니방)",서울특별시 강남구 봉은사로68길 39-3(삼성동),3460,1558,417,1075,10,20,2,2,0,11,3,0,0,6,1546,12,1902
1937,Gangnam,투표소,SS2,삼성2동제5투,"강남구청 본관(지하1층, 구내식당)",서울특별시 강남구 학동로 426(삼성동),3339,2027,283,1708,4,9,0,2,0,8,2,0,0,3,2019,8,1312
1938,Gangnam,투표소,DCH1,대치1동제1투,"단대부고(1층, 체육관)",서울특별시 강남구 도곡로64길 21(대치동),3414,2203,197,1966,2,8,2,2,0,12,1,0,1,4,2195,8,1211
1939,Gangnam,투표소,DCH1,대치1동제2투,"단대부중(1층, 다목적실)",서울특별시 강남구 도곡로64길 21(대치동),2544,1502,229,1237,6,12,1,1,0,2,0,0,1,4,1493,9,1042
1940,Gangnam,투표소,DCH1,대치1동제3투,"대치초등학교(1층, 체육관)",서울특별시 강남구 양재천로 363(대치동),2042,1337,130,1183,5,6,0,1,0,3,0,1,0,6,1335,2,705
1941,Gangnam,투표소,DCH1,대치1동제4투,"대청중학교(1층, 급식실)",서울특별시 강남구 양재천로 321(대치동),2204,1446,151,1276,4,4,1,2,0,1,0,0,0,2,1441,5,758
1942,Gangnam,투표소,DCH1,대치1동제5투,"래미안대치팰리스 생활지원센터(1층, 연회장)",서울특별시 강남구 삼성로51길 37(대치동),3414,2144,265,1851,6,10,0,2,0,1,0,0,0,1,2136,8,1270
1943,Gangnam,투표소,DCH2,대치2동제1투,"대치평생학습관(2층, 문화교실)",서울특별시 강남구 영동대로57길 7(대치동),3373,1997,319,1632,3,14,2,5,0,8,1,0,0,3,1987,10,1376
1944,Gangnam,투표소,DCH2,대치2동제2투,"은마아파트 관리동(1층, 경로당)","서울특별시 강남구 삼성로 212(대치동, 은마아파트)",2658,1612,292,1273,5,11,1,7,0,6,3,0,0,4,1602,10,1046
1945,Gangnam,투표소,DCH2,대치2동제3투,"강남구민회관(1층, 홍보전시실)",서울특별시 강남구 삼성로 154(대치동),2786,1668,253,1373,5,10,1,0,0,13,0,0,1,9,1665,3,1118
1946,Gangnam,투표소,DCH2,대치2동제4투,"대곡초등학교(1층, 주차장)",서울특별시 강남구 남부순환로 3022(대치동),2518,1783,153,1601,9,6,1,0,0,1,1,1,0,6,1779,4,735
1947,Gangnam,투표소,DCH2,대치2동제5투,"미도아파트 관리동(2층, 경로당)","서울특별시 강남구 삼성로 150(대치동, 한보미도맨션)",2625,1859,193,1637,3,4,1,2,1,7,2,0,1,3,1854,5,766
1948,Gangnam,투표소,DCH2,대치2동제6투,쌍용주차장 (1층 하나은행 뒤편),서울특별시 강남구 영동대로50길 10(대치동 62-12),3107,2153,278,1829,7,11,1,1,0,4,1,0,1,7,2140,13,954
1949,Gangnam,투표소,DCH2,대치2동제7투,"대치2동주민센터(1층, 회의실)",서울특별시 강남구 영동대로65길 24(대치동),2981,1444,245,1161,4,5,0,4,0,3,1,1,0,12,1436,8,1537
1950,Gangnam,투표소,DCH2,대치2동제8투,"휘문고등학교(1층, 글로벌홀)",서울특별시 강남구 역삼로 541(대치동),2804,1212,311,855,8,17,0,2,1,7,1,0,0,3,1205,7,1592
